Time,Channel B
(ns),(mV)

149.49999821,-10.01169000
149.99999820,-9.95386200
150.49999819,-9.83452200
150.99999817,-9.83452200
151.49999816,-9.95386200
151.99999814,-10.00861000
152.49999813,-9.99753900
152.99999812,-9.99753900
153.49999810,-10.00861000
153.99999809,-9.95632300
154.49999807,-9.84867000
154.99999806,-9.79330700
155.49999804,-9.79330700
155.99999803,-9.85113100
156.49999802,-9.97047100
156.99999800,-9.97293300
157.49999799,-9.86466500
157.99999797,-9.75516700
158.49999796,-9.64689900
158.99999795,-9.64689900
159.49999793,-9.75516700
159.99999792,-9.85912800
160.49999790,-9.94586600
160.99999789,-10.05290000
161.49999787,-10.17163000
161.99999786,-10.11380000
162.49999785,-9.87635300
162.99999783,-9.82098900
163.49999782,-9.95078800
163.99999780,-10.00861000
164.49999779,-9.99753900
164.99999778,-10.00062000
165.49999776,-10.02215000
165.99999775,-9.91510800
166.49999773,-9.68811500
166.99999772,-9.63582600
167.49999771,-9.76562400
167.99999769,-9.82344900
168.49999768,-9.81237700
168.99999766,-9.81237700
169.49999765,-9.82344900
169.99999763,-9.76316400
170.49999762,-9.62229300
170.99999761,-9.72933000
171.49999759,-10.07566000
171.99999758,-10.18824000
172.49999756,-10.06951000
172.99999755,-9.90403500
173.49999754,-9.69918700
173.99999752,-9.59768700
174.49999751,-9.61921700
174.99999749,-9.61921700
175.49999748,-9.59768700
175.99999746,-9.70164800
176.49999745,-9.91818300
176.99999744,-10.02768000
177.49999742,-10.02768000
177.99999741,-9.91510800
178.49999739,-9.68811500
178.99999738,-9.63336600
179.49999737,-9.75209100
179.99999735,-9.86774200
180.49999734,-9.98646600
180.99999732,-9.93171700
181.49999731,-9.70472400
181.99999730,-9.59215000
182.49999728,-9.59215000
182.99999727,-9.70472400
183.49999725,-9.93171700
183.99999724,-9.98400600
184.49999722,-9.85420700
184.99999721,-9.79884200
185.49999720,-9.82098900
185.99999718,-9.76870100
186.49999717,-9.64936000
186.99999715,-9.64689900
187.49999714,-9.75516700
187.99999713,-9.85912800
188.49999711,-9.94586600
188.99999710,-10.05536000
189.49999708,-10.18516000
189.99999707,-10.08120000
190.49999705,-9.75701200
190.99999704,-9.54232200
191.49999703,-9.45620000
191.99999701,-9.45866100
192.49999700,-9.55585600
192.99999698,-9.72133400
193.49999697,-9.94832700
193.99999696,-9.94525100
194.49999694,-9.70718500
194.99999693,-9.59215000
195.49999691,-9.59215000
195.99999690,-9.70164800
196.49999689,-9.91818300
196.99999687,-10.02522000
197.49999686,-10.01415000
197.99999684,-9.95386200
198.49999683,-9.83452200
198.99999681,-9.83759800
199.49999680,-9.96739700
199.99999679,-9.96739700
200.49999677,-9.83759800
200.99999676,-9.84005800
201.49999674,-9.98092900
201.99999673,-9.92864100
202.49999672,-9.69119100
202.99999670,-9.63582600
203.49999669,-9.76562400
203.99999667,-9.82344900
204.49999666,-9.81237700
204.99999664,-9.80745600
205.49999663,-9.79638200
205.99999662,-9.85666800
206.49999660,-9.99753900
206.99999659,-9.89050200
207.49999657,-9.54416800
207.99999656,-9.42605800
208.49999655,-9.52325200
208.99999653,-9.79822800
209.49999652,-10.24114000
209.99999650,-10.34572000
210.49999649,-10.09658000
210.99999648,-9.92618100
211.49999646,-9.82898600
211.99999645,-9.84005800
212.49999643,-9.98092900
212.99999642,-9.92864100
213.49999640,-9.69119100
213.99999639,-9.63336600
214.49999638,-9.75209100
214.99999636,-9.85912800
215.49999635,-9.94586600
215.99999633,-10.04983000
216.49999632,-10.15810000
216.99999631,-10.15563000
217.49999629,-10.03629000
217.99999628,-9.98400600
218.49999626,-10.00615000
218.99999625,-9.95078800
219.49999623,-9.82098900
219.99999622,-9.88188800
220.49999621,-10.14149000
220.99999619,-10.09166000
221.49999618,-9.74594000
221.99999616,-9.58107800
222.49999615,-9.60260800
222.99999614,-9.66350800
223.49999612,-9.77116100
223.99999611,-9.82098900
224.49999609,-9.79884200
224.99999608,-9.85113100
225.49999606,-9.97047100
