Time,Voltage
(ns),(mV)

810,-1.21001
812,-1.55573
814,-1.03716
816,-1.21001
818,-1.03716
820,-0.864296
822,-0.691437
824,-0.691437
826,-0.518578
828,-0.345719
830,-0.172859
832,-0.518578
834,-0.691437
836,-0.518578
838,-0.518578
840,-1.21001
842,-1.03716
844,-0.864296
846,-0.691437
848,-0.691437
850,-0.518578
852,-0.345719
854,-0.518578
856,-1.21001
858,-0.691437
860,-0.691437
862,-0.345719
864,-0.864296
866,-1.03716
868,-0.691437
870,-0.691437
872,-0.864296
874,-0.691437
876,-0.345719
878,-0.518578
880,-0.345719
882,-0.345719
884,-0.345719
886,0
888,-0.345719
890,0
892,0
894,-0.172859
896,-0.691437
898,-0.691437
900,-0.691437
902,-0.691437
904,-1.03716
906,-1.21001
908,-1.21001
910,-1.21001
912,-1.03716
914,-1.03716
916,-0.864296
918,-1.03716
920,-1.55573
922,-1.21001
924,-1.21001
926,-1.03716
928,-0.691437
930,-0.691437
932,-0.345719
934,-0.345719
936,-0.345719
938,0
940,0.172859
942,0
944,-0.518578
946,-0.864296
948,-1.21001
950,-1.03716
952,-1.03716
954,-0.691437
956,-0.864296
958,-0.345719
960,-0.691437
962,-0.864296
964,-1.03716
966,-1.03716
968,-1.55573
970,-1.55573
972,-1.55573
974,-1.55573
976,-1.21001
978,-0.864296
980,-0.864296
982,-0.691437
984,-0.691437
986,-0.691437
988,-1.03716
990,-0.864296
992,-0.864296
994,-1.03716
996,-1.38287
998,-1.03716
1000,-1.55573
1002,-1.03716
1004,-0.864296
1006,-0.691437
1008,-0.345719
1010,-0.691437
1012,-0.864296
1014,-0.691437
1016,-0.864296
1018,-0.691437
1020,-0.691437
1022,-0.691437
1024,-0.691437
1026,-0.691437
1028,-0.691437
1030,-0.172859
1032,-0.345719
1034,0
1036,-0.345719
1038,0
1040,-0.172859
1042,0
1044,0
1046,0.172859
1048,-0.345719
1050,-0.518578
1052,-0.864296
1054,-0.691437
1056,-0.864296
1058,-1.03716
1060,-1.21001
1062,-1.55573
1064,-1.72859
1066,-1.55573
1068,-1.55573
1070,-1.03716
1072,-1.38287
1074,-1.21001
1076,-1.03716
1078,-1.21001
1080,-1.38287
1082,-0.518578
1084,-0.691437
1086,-0.345719
1088,-0.345719
1090,-0.345719
1092,-0.345719
1094,0.172859
1096,-0.345719
1098,0
1100,0.172859
1102,0
1104,-0.345719
1106,-0.691437
1108,-0.691437
1110,-0.691437
1112,-1.03716
1114,-1.03716
1116,-1.21001
1118,-1.21001
1120,-1.55573
1122,-1.55573
1124,-1.72859
1126,-1.72859
1128,-2.24717
1130,-2.07431
1132,-1.90145
1134,-1.38287
1136,-1.21001
1138,-0.864296
1140,-0.864296
1142,-0.864296
1144,-1.21001
1146,-0.691437
1148,-0.691437
1150,-0.345719
1152,-0.345719
1154,-0.691437
1156,-0.691437
1158,-0.691437
1160,-0.691437
1162,-0.345719
1164,-0.345719
1166,-0.345719
1168,-0.518578
1170,-0.691437
1172,-0.691437
1174,-0.518578
1176,-0.691437
1178,-0.518578
1180,-0.864296
1182,-0.691437
1184,-0.691437
1186,-0.691437
1188,-0.691437
1190,-0.172859
1192,-0.691437
1194,-0.345719
1196,-0.345719
1198,-0.172859
1200,-0.172859
1202,-0.172859
1204,-0.345719
1206,-0.172859
1208,-0.864296
1210,-0.345719
1212,-0.691437
1214,-0.691437
1216,-0.691437
1218,-0.864296
1220,-1.21001
1222,-1.03716
1224,-1.21001
1226,-1.03716
1228,-1.03716
1230,-0.864296
1232,-0.864296
1234,-1.03716
1236,-0.864296
1238,-0.691437
1240,-0.691437
1242,-0.518578
1244,-0.172859
1246,-0.345719
1248,-0.345719
1250,0
1252,-0.345719
1254,-0.172859
1256,-0.345719
1258,-0.345719
1260,-0.691437
1262,-0.691437
1264,-0.518578
1266,-0.864296
1268,-0.864296
1270,-0.691437
1272,-1.21001
1274,-1.21001
1276,-1.38287
1278,-1.55573
1280,-1.72859
1282,-1.72859
1284,-1.72859
1286,-1.90145
1288,-2.07431
1290,-1.38287
1292,-1.55573
1294,-1.03716
1296,-0.864296
1298,-0.864296
1300,-0.691437
1302,-0.691437
1304,-0.691437
1306,-0.518578
1308,-0.345719
1310,-0.345719
1312,-0.518578
1314,-0.345719
1316,-0.345719
1318,0
1320,-0.518578
1322,-0.172859
1324,-0.518578
1326,-0.691437
1328,-0.691437
1330,-0.518578
1332,-0.864296
1334,-0.691437
1336,-0.864296
1338,-0.691437
1340,-0.864296
1342,-0.691437
1344,-0.691437
1346,-0.691437
1348,-0.691437
1350,-0.345719
1352,-0.691437
1354,-0.345719
1356,-0.345719
1358,0
1360,-0.172859
1362,0
1364,-0.172859
1366,-0.172859
1368,-0.345719
1370,-0.345719
1372,-0.345719
1374,-0.172859
1376,-0.691437
1378,-0.864296
1380,-0.691437
1382,-0.691437
1384,-0.864296
1386,-0.691437
1388,-1.03716
1390,-0.864296
1392,-0.864296
1394,-0.864296
1396,-0.691437
1398,-0.691437
1400,-0.864296
1402,-0.345719
1404,-0.345719
1406,-0.172859
1408,-0.172859
1410,-0.345719
1412,-0.345719
1414,-0.345719
1416,-0.691437
1418,-0.345719
1420,-0.691437
1422,-0.345719
1424,-0.864296
1426,-0.691437
1428,-1.03716
1430,-1.03716
1432,-1.55573
1434,-1.21001
1436,-1.38287
1438,-1.38287
1440,-1.38287
1442,-1.55573
1444,-1.55573
1446,-1.21001
1448,-1.55573
1450,-1.03716
1452,-1.03716
1454,-0.864296
1456,-1.21001
1458,-0.691437
1460,-0.864296
1462,-0.518578
1464,-0.691437
1466,-0.691437
1468,-0.691437
1470,-0.518578
1472,-0.518578
1474,-0.518578
1476,-0.518578
1478,-0.172859
1480,-0.691437
1482,-0.518578
1484,-0.691437
1486,-0.518578
1488,-0.864296
1490,-0.691437
1492,-0.691437
1494,-0.691437
1496,-0.864296
1498,-0.691437
1500,-0.691437
1502,-0.518578
1504,-0.518578
1506,-0.345719
1508,-0.518578
1510,0
1512,-0.345719
1514,-0.345719
1516,-0.345719
1518,0
1520,-0.172859
1522,-0.172859
1524,-0.345719
1526,-0.172859
1528,-0.345719
1530,-0.345719
1532,-0.518578
1534,-0.518578
1536,-0.691437
1538,-0.345719
1540,-0.691437
1542,-0.691437
1544,-0.864296
1546,-0.864296
1548,-1.03716
1550,-0.691437
1552,-0.691437
1554,-0.691437
1556,-0.864296
1558,-0.691437
1560,-0.691437
1562,-0.345719
1564,-0.345719
1566,-0.345719
1568,-0.172859
1570,-0.345719
1572,-0.518578
1574,-0.172859
1576,-0.691437
1578,-0.518578
1580,-0.691437
1582,-0.345719
1584,-0.864296
1586,-0.691437
1588,-0.864296
1590,-0.864296
1592,-1.38287
1594,-1.21001
1596,-1.21001
1598,-1.03716
1600,-1.38287
1602,-1.21001
1604,-1.55573
1606,-1.03716
1608,-1.55573
1610,-1.03716
1612,-1.21001
1614,-0.864296
1616,-0.864296
1618,-0.864296
1620,-0.864296
1622,-0.691437
1624,-1.03716
1626,-0.691437
1628,-0.691437
1630,-0.345719
1632,-0.691437
1634,-0.518578
1636,-0.345719
1638,-0.518578
1640,-0.864296
1642,-0.691437
1644,-0.864296
1646,-0.345719
1648,-0.691437
1650,-0.691437
1652,-0.864296
1654,-0.691437
1656,-1.03716
1658,-0.864296
1660,-0.864296
1662,-0.518578
1664,-0.518578
1666,-0.691437
1668,-0.345719
1670,-0.345719
1672,-0.518578
1674,-0.345719
1676,-0.518578
1678,-0.345719
1680,-0.518578
1682,-0.345719
1684,-0.691437
1686,-0.345719
1688,-0.518578
1690,-0.518578
1692,-0.864296
1694,-0.518578
1696,-0.518578
1698,-0.518578
1700,-0.864296
1702,-0.691437
1704,-0.864296
1706,-0.691437
1708,-1.03716
1710,-0.691437
1712,-0.864296
1714,-0.691437
1716,-0.691437
1718,-0.345719
1720,-0.691437
1722,-0.345719
1724,-0.691437
1726,-0.345719
1728,-0.518578
1730,-0.345719
1732,-0.691437
1734,-0.691437
1736,-0.691437
1738,-0.345719
1740,-0.864296
1742,-0.518578
1744,-0.864296
1746,-0.691437
1748,-0.864296
1750,-0.864296
1752,-1.21001
1754,-1.21001
1756,-1.21001
1758,-1.03716
1760,-0.864296
1762,-1.03716
1764,-1.03716
1766,-1.21001
1768,-1.21001
1770,-1.03716
1772,-0.864296
1774,-0.864296
1776,-0.691437
